#WAGON_DATA
wagonName,Alex
wagonMeshIndex,0
primaryMaterial,OrangeSanguine
secondaryMaterial,Lavande
stationId,1
stationSplineId,5

#PATH_DATA
time,posX,posY,posZ,rotX,rotY,rotZ,rotW
0.01999999,-25.72679,2.065803,-38.95652,0.02549193,-0.9087719,0.00125727,-0.4165121
0.03999998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.05999998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.07999997,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.09999996,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.12,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.14,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.16,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.1799999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.1999999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.2199999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.2399999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.2599999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.2799999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.2999999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.3199999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.3399999,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.3599998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.3799998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.3999998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.4199998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.4399998,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.4599997,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.4799997,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.4999997,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.5199997,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.5399997,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.5599996,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.5799996,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.5999996,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.6199996,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.6399996,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.6599995,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.6799995,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.6999995,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.7199995,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.7399995,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.7599995,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.7799994,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.7999994,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.8199994,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.8399994,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
0.8599994,-25.72679,2.065803,-38.95652,0.02549191,-0.9087719,0.001257241,-0.416512
