#WAGON_DATA
wagonName,CLOE
wagonMeshIndex,0
primaryMaterial,VertFoncé
secondaryMaterial,Jaune
stationId,4
stationSplineId,8

#PATH_DATA
time,posX,posY,posZ,rotX,rotY,rotZ,rotW
0.01999999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.03999998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.05999998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.07999997,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.09999996,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.12,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.14,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.16,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.1799999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.1999999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.2199999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.2399999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.2599999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.2799999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.2999999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.3199999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.3399999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.3599998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.3799998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.3999998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.4199998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.4399998,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.4599997,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.4799997,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.4999997,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.5199997,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.5399997,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.5599996,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.5799996,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.5999996,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.6199996,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.6399996,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.6599995,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.6799995,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.6999995,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.7199995,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.7399995,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.7599995,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.7799994,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.7999994,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.8199994,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.8399994,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.8599994,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.8799993,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.8999993,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.9199993,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.9399993,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.9599993,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.9799992,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
0.9999992,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.019999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.039999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.059999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.079999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.099999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.119999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.139999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.159999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.179999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.199999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
1.219999,68.02891,6.225129,63.60463,-0.04407904,-0.4960272,0.1041985,0.8609047
